number,note,answer,duration
0,B4,G,9.99
1,D#4,C,3.10
2,G#3,F,2.88
3,C3,D#,7.58
4,C4,D#,0.77
5,G#3,C,1.89
6,D3,G#,1.99
7,D4,G#,1.20
8,D4,G#,0.67
9,C5,F,6.54
10,F#5,A#,10.73
11,A#3,A,6.34
12,D#4,D,2.89
13,C5,F#,4.76
14,F4,D,2.47
15,G4,E,1.41
16,D#3,E,10.31
17,F5,F,245.17
18,A4,A,5.54
19,D4,D,2.56
20,C#4,C#,0.91
21,F#3,G#,1.26
22,F#3,G#,0.83
23,A#3,C,3.83
24,F#5,E,2.74
25,C3,C,2.05
26,A#3,F#,1.37
27,G#3,E,0.79
28,F4,A,1.40
29,F#5,B,2.07
30,E3,D,2.06
31,C4,A#,3.54
32,B3,A,0.72
33,G#3,F,0.96
34,E3,D,0.96
35,F#5,A#,2.34
36,F5,A,0.84
37,C4,A,4.05
38,C#5,F,38.50
39,F4,G,1.40
40,C5,C,1.86
41,G5,G,1.60
42,D3,D,3.04
43,F#5,A#,2.58
44,F#5,A#,0.72
45,C3,C#,3.43
46,C5,A,2.00
47,F#4,D#,1.77
48,A#3,F,3.84
49,G4,C#,5.31
50,C#5,A,1.98
51,F4,F#,1.37
52,D#3,D#,5.16
53,E5,C#,3.06
54,C#4,G#,2.88
55,D5,A#,3.54
56,A#4,D,9.61
57,C#5,A#,2.72
58,G4,C#,2.77
59,A#4,E,1.90
60,A#3,A#,1.27
61,F4,E,1.65
62,C4,C,1.96
63,C#4,C#,0.70
64,E4,E,0.97
65,A#5,A,1.35
66,G#4,B,0.84
67,E3,D,1.19
68,E3,D,0.75
69,F4,G,3.40
70,G#4,A#,1.40
71,E3,D,1.12
72,D3,C,0.64
73,A4,G,2.21
74,F#5,E,1.92
75,G#4,F#,1.01
76,E5,D,0.89
77,A#5,A,0.87
78,A#3,A,0.67
79,C4,B,0.79
80,G#3,G,1.03
81,B4,A#,1.39
82,A#4,A,0.69
83,F4,F,1.05
84,G#3,D#,1.02
85,A#3,F,0.87
86,E3,B,1.57
87,G3,D,1.06
88,D5,G,4.92
89,D4,E,0.74
90,F#3,A#,1.16
91,A#5,A,0.62
92,G4,D,1.61
93,B4,F#,1.71
94,B4,F#,0.71
95,G4,D,0.88
96,F3,G#,0.95
97,C4,D,2.10
98,C#3,D,1.89
99,A#5,A#,1.26
